Name,Link
"Shoop Da Whoop/IMMA FIRIN MAH LAZOR (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/ShoopDaWhoop.zip
"Chevy - Sway to My Beat in Cosmos (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/SwayToMyBeatInCosmosDrums.zip?download=true
"The Score - Legend (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/LegendDrums.zip?download=true
"Plory I-Ready (RVC V2) (TITAN, RMVPE, 200 Epochs)",https://huggingface.co/GoldoBasic/Plory_RVC/resolve/main/Plory.zip?download=true
Mariangela Fantozzi (Fantozzi) (Old italian film) [RVCV2] [Itaila] [100 Epochs],https://huggingface.co/Loren85/Mariangela/resolve/main/Mariangela.zip?download=true
[Rifatto] Pina Fantozzi (V2) (fantozzi) (Old italian film) [RVCV2] [Itaila] [250 Epochs],https://huggingface.co/Loren85/Pina-V2/resolve/main/PinaV2.zip?download=true
"Young Egirl ( 300 epochs, 40k, RVC, V2)",https://huggingface.co/gaherfuyhj/rshy-v2/resolve/main/egirl.zip?download=true
Justin Moore (2016-2018) (V2) (RVC v2) (300 Epochs) (RMVPE),https://huggingface.co/mjfan1999/JustinMoore16-18V2/resolve/main/JustinMoore16-18V2.zip
Random ASMR Or EGirl (RVC V2-TITAN Pretrain) (140 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Random_ASMR_Or_EGirl/resolve/main/Random_ASMR_Or_EGirl_v2.zip?download=true
Korean actor Han Ji-min V2 (RVC v2 | RMVPE | KLMs7 Batch 3 | 250 Epochs),https://huggingface.co/YangPa/HanJiMin/resolve/main/HanJiMin_V2_KLMs7B4.zip?download=true
Party Phil (RVC V2-TITAN Pretrain) (270 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Party_Phil/resolve/main/Party_Phil_v2.zip?download=true
Korean actor Park Eun-bin (Woo Young-woo)(RVC v2 | RMVPE | KLMs7 Batch 3 | 250 Epochs),https://huggingface.co/YangPa/wYUNGw/resolve/main/wYUNGw_V2_KLMs7B3.zip?download=true
"Korean actor Lee Chung-ah V2 (RVC v2 |  KLMs7 Batch3 | 250 Epochs, RMVPE)",https://huggingface.co/YangPa/LeeChungAh/resolve/main/ChungAh_V2_KLMb3.zip?download=true
"[RETRAINED] Stylophone (RVC V2) (TITAN, RMVPE, 200 Epochs)",https://huggingface.co/GoldoBasic/StylophoneRemake/resolve/main/StylophoneRemake.zip?download=true
"Judy Hopps (Zootopia) - RVC v2, 200 Epochs, rmvpe, TITAN",https://huggingface.co/Xhepyxopila/SonicModels/resolve/main/JudyHopps.zip?download=true
"Noire (Neptunia) [200 Epochs, RVC V2 - Titan Pretrain]",https://huggingface.co/CRoyce/Models_I_make/resolve/main/Noire.zip?download=true
"Rouge the Bat (Sonic Generations) - RVC v2, 100 Epochs, RMVPE, TITAN",https://huggingface.co/Xhepyxopila/SonicModels/resolve/main/Rouge.zip?download=true
Justin Moore (2013-2014) (RVC v2) (300 Epochs) (RMVPE),https://huggingface.co/mjfan1999/JustinMoore13-14/resolve/main/JustinMoore13-14.zip
"Los Pingüinos Me La Van a Mascar (Español Latino) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/LosPinguinosMeLaVanAMascarLA.zip
"Bill Clinton (Family Guy) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/BillClintonFamilyGuy.zip
Garrus Vakarian (Mass Effect) (RVC V2 - OV2Super Pretrain) (400 Epochs) (RMVPE),https://huggingface.co/Gloxiderri/Garrus_Vakarian/resolve/main/Garrus%20Vakarian.zip?download=true
Pina Fantozzi (Fantozzi) (Old Italian Film) [RVCV2] [Itaila] [200 Epochs],https://huggingface.co/Loren85/Pina/resolve/main/Pina.zip?download=true
Mr Roy Sebastian(Infamous AI Hubber)(RVC V2)(RMVPE)(TITAN)(1000 Epochs - 4992 Steps)(40k Rate),https://huggingface.co/notiscBalbalEko/myrvcmodel/resolve/main/Mr%20Roy%20Sebastian_e1000_s4992.zip?download=true
Jensen Ackles (Actor) [RVC V2/RMVPE} [386 Epochs],https://huggingface.co/MusologyWavey/MusologyRVC/resolve/main/Jensen%20Ackles.zip?download=true
